elt   S30A      S30B      S35A      S35B      S35C      S40A      S40B      S40C   
52Mn  9.42E-10  2.47E-04  6.00E-10  2.05E-09  2.34E-03  4.12E-10  1.27E-09  5.29E-04  
53Mn  7.03E-08  2.79E-04  2.48E-08  1.53E-07  6.58E-04  1.32E-08  3.49E-08  7.97E-04  
54Mn  1.04E-07  4.94E-06  2.97E-08  3.20E-07  8.98E-06  1.15E-08  4.40E-08  1.16E-05  
55Mn  3.03E-04  3.04E-04  3.29E-04  3.33E-04  3.33E-04  3.29E-04  3.34E-04  3.36E-04  
52Fe  1.62E-12  3.35E-03  3.13E-13  4.08E-12  4.10E-03  1.02E-13  6.18E-13  7.47E-03  
53Fe  4.09E-10  6.08E-05  4.59E-10  4.42E-10  1.17E-05  4.27E-10  4.02E-10  3.82E-05  
54Fe  1.49E-03  1.34E-02  1.65E-03  1.64E-03  2.60E-02  1.67E-03  1.67E-03  3.63E-02  
55Fe  1.25E-05  3.02E-04  2.58E-05  2.75E-05  7.67E-04  3.76E-05  3.79E-05  4.44E-04  
56Fe  2.50E-02  2.53E-02  2.77E-02  2.78E-02  2.82E-02  2.83E-02  2.84E-02  2.90E-02  
57Fe  9.98E-04  1.03E-03  1.17E-03  1.26E-03  1.27E-03  1.27E-03  1.41E-03  1.43E-03  
58Fe  9.92E-04  1.21E-03  9.16E-04  1.52E-03  1.56E-03  8.79E-04  1.69E-03  1.95E-03  
59Fe  3.97E-05  4.82E-05  5.46E-05  1.01E-04  1.04E-04  9.62E-05  2.31E-04  2.62E-04  
60Fe  1.88E-05  2.38E-05  2.51E-05  5.59E-05  5.63E-05  3.09E-05  8.32E-05  1.05E-04  
55Co  3.36E-09  1.67E-03  2.85E-09  4.49E-09  2.57E-03  2.37E-09  4.37E-09  3.69E-03  
56Co  1.20E-07  1.21E-02  9.94E-08  1.57E-07  1.87E-02  8.02E-08  1.54E-07  5.86E-03  
